  62 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by Kane is Able.                                                                                                                                                                                                            |   70000 | 1990-01-01  | 41.3978073 |  -75.7041981 | 010100002031BF0D0097A71119EB1260C12310551A57585341 |     1 |
  65 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Owned and Operated.                                                                                                                                                                                                                                      |  100000 | 1995-04-01  | 30.0989291 |  -94.9271153 | 010100002031BF0D00B0CB67C4C82764C1BBE0894DB8D34A41 |     1 |
  66 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility formerly run by PSI - Puget Sound International which went out of business in Sep, 2012. Vitran Logistics is now the 3PL operator.                                                                                              |  103200 |             |  47.251816 |  -122.393895 | 010100002031BF0D00C9D22942BFFC69C17335B7890AD35641 |     1 |
  67 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Export distribution center to distribute export merchandise for Walmart Mexico.                                                                                                                                                                          |  191700 | 1992-01-01  | 27.7179644 |  -99.7226048 | 010100002031BF0D00AC01C8B2712C65C1A86F64EE4A844841 |     1 |
  68 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Optical Lab / Plant.                                                                                                                                                                                                                                     |   31400 | 1993-01-01  | 40.0468688 |  -86.8674151 | 010100002031BF0D009C724B8DB27162C19200C4DD8C965241 |     1 |
  69 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Optical Lab / Plant.                                                                                                                                                                                                                                     |   64500 | 1987-03-01  | 36.0546613 |  -94.1915658 | 010100002031BF0D00E4418AA4CDFF63C1A1E6A9522C6F5041 |     1 |
  70 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Optical Lab / Plant.                                                                                                                                                                                                                                     |   38918 | 2003-06-01  | 32.8183922 |  -96.8915204 | 010100002031BF0D009ED4D1568F9264C1CC7C73A6FB884D41 |     1 |
  71 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Started as a Redistribution DC in 1976 and converted into a VAWD accredited Pharmacy Distribution Center.                                                                                                                                                |  150000 | 1976-11-01  |  36.352679 |   -94.128634 | 010100002031BF0D00BEE963F361FC63C18725ABA652975041 |     1 |
  72 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Pharmacy Distribution Center. Pharmacy Returns DC.                                                                                                                                                                                                       |   40000 | 2001-01-01  |  36.359143 |   -94.182334 | 010100002031BF0D00BEA2CD2E4DFF63C1331DC70532985041 |     1 |
  73 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Pharmacy Distribution Center.                                                                                                                                                                                                                            |   70900 | 1994-03-01  |  36.280948 |  -119.653431 | 010100002031BF0D00D7BC56E0C96769C1DDD51C24A58D5041 |     1 |
